year,women_specific,ministry,scheme,expenditure
2018-19,Women Specific 100% ,Dadra and Nagar Haveli and Daman and Diu,"Nutrition Programme, Old age pension, Disability pension , Social Welfare etc.",14.5
2018-19,Women Specific 100% ,Dadra and Nagar Haveli and Daman and Diu,Women Welfare Scheme,0.29
2018-19,Women Specific 100% ,Dadra and Nagar Haveli and Daman and Diu,"Scholarship, Health Insurance, Free Bicycle, Sukanya Satkar Yojana for U.T of Dadra and Nagar Haveli and Daman and Diu",0.0
2018-19,Women Specific 100% ,Dadra and Nagar Haveli and Daman and Diu,"Assistance, Training, Balika Shivir, Empowerment and Education for UT of Dadra and Nagar Haveli and Daman and Diu",0.0
2018-19,Women Specific 100% ,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu Total,14.79
2018-19,Women Specific 30%,Dadra and Nagar Haveli and Daman and Diu,Women Welfare Scheme,0.02
2018-19,Women Specific 30%,Dadra and Nagar Haveli and Daman and Diu,"Assistance, Training, Balika Shivir, Empowerment and Education",5.0
2018-19,Women Specific 30%,Dadra and Nagar Haveli and Daman and Diu,Assistance to Widows,0.5
2018-19,Women Specific 30%,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu Total,5.52
2018-19,Women Specific 100% ,Department of Agricultural Research and Education,"Central Institute for Women in Agriculture, Bhubaneshwar",15.37
2018-19,Women Specific 100% ,Department of Agricultural Research and Education,"Central Institute for Women in Agriculture, Bhubaneshwar",24.6
2018-19,Women Specific 100% ,Department of Agricultural Research and Education,Department of Agricultural Research and Education Total,39.97
2018-19,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare",Mission for Integrated Development of Horticulture,0.0
2018-19,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare",Sub-Mission on Agriculture Extension,0.0
2018-19,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare",Sub-Mission on Agriculture Mechanisation,0.0
2018-19,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare",Sub-Mission on Seed and Planting Material,0.0
2018-19,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare",Organic Value Chain Development for North Eastern Resion,0.0
2018-19,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare",Rainfed Area Development and Climate change,0.0
2018-19,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare",Parampragat Krishi Vikas Yojna,0.0
2018-19,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare",Rashtriya Krishi Vikas Yojna,0.0
2018-19,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare",Pradhan Mantri Krishi Sinchai Yojna-Per-Drop More Crop,0.0
2018-19,Women Specific 30%,"Department of Agriculture, Cooperation and Farmers Welfare","Department of Agriculture, Cooperation and Farmers Welfare Total",0.0
2018-19,Women Specific 30%,Department of Animal Husbandry and Dairying,Dairy Entrepreneurship Development,323.0
2018-19,Women Specific 30%,Department of Animal Husbandry and Dairying,National Livestock Mission,299.64
2018-19,Women Specific 30%,Department of Animal Husbandry and Dairying,Department of Animal Husbandry and Dairying Total,622.64
2018-19,Women Specific 30%,Department of Empowerment of Persons with Disabilities,National Institute / Centre Universal Design,0.0
2018-19,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Center for Disability Sports,0.0
2018-19,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Center for Disability Sports,64.86
2018-19,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Support to Braille Presss,1.4
2018-19,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Support to Braille Presss,0.45
2018-19,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Support to National Trust,4.87
2018-19,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Pre Matric Scholarship,2.87
2018-19,Women Specific 30%,Department of Empowerment of Persons with Disabilities,National Handicapped Finance and Develolpment Corporation,6.22
2018-19,Women Specific 30%,Department of Empowerment of Persons with Disabilities,National Institute for Disabled Persons,77.0
2018-19,Women Specific 30%,Department of Empowerment of Persons with Disabilities,National Institute for Disabled Persons,1.45
2018-19,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Grants in aid to National University of Rehab Science and Disability Studies,0.0
2018-19,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Indian Spinal Injury Centre,0.0
2018-19,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Implimentation of the Persons with Disabilities Act 1995,78.25
2018-19,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Implimentation of the Persons with Disabilities Act 1995,20.99
2018-19,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Office of the Chief Commissioner for Handicapped,6.58
2018-19,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Information and Mass Communication Cell,4.44
2018-19,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Information and Mass Communication Cell,1.41
2018-19,Women Specific 30%,Department of Empowerment of Persons with Disabilities,Other Contractual Srvice handling clearance of duty free consignments,0.0
2018-19,Women Specific 30%,Department of Fisheries,Blue Revolution - Integrated Development and Management of Fisheries,484.16
2018-19,Women Specific 30%,Department of Health and Family Welfare,National Urban Health Mission Flexible Pool,477.65
2018-19,Women Specific 30%,Department of Health and Family Welfare,National Urban Health Mission Flexible Pool,164.03
2018-19,Women Specific 30%,Department of Health and Family Welfare,AIIMS New Delhi,1601.58
2018-19,Women Specific 30%,Department of Health and Family Welfare,Lady Hardinge Medical College and Smt. S.K. Hospital,308.27
2018-19,Women Specific 30%,Department of Health and Family Welfare,"Post Graduate Institute of Medical Education and Research, Chandigarh",560.5
2018-19,Women Specific 30%,Department of Health and Family Welfare,JIPMER Puducherry,488.89
2018-19,Women Specific 30%,Department of Health and Family Welfare,Development of Nursing Services,11.55
2018-19,Women Specific 30%,Department of Health and Family Welfare,"National Institute of Mental Health and Neuro Sciences, Bengaluru",144.14
2018-19,Women Specific 30%,Department of Health and Family Welfare,"All India Instutute of Speech and hearing, Mysore",23.74
2018-19,Women Specific 30%,Department of Health and Family Welfare,Discretionary Grant,1.7
2018-19,Women Specific 30%,Department of Health and Family Welfare,National Medical Library,3.56
2018-19,Women Specific 30%,Department of Health and Family Welfare,Central Government Health Scheme,587.47
2018-19,Women Specific 30%,Department of Health and Family Welfare,National AIDS Control Programme,540.96
2018-19,Women Specific 30%,Department of Health and Family Welfare,National Urban Health Mission Flexible Pool,861.68
2018-19,Women Specific 30%,Department of Health and Family Welfare,Flexible Pool for Communicable Diseases,5213.45
2018-19,Women Specific 30%,Department of Health and Family Welfare,Infrastructure Mainintenancae,5944.41
2018-19,Women Specific 30%,Department of Health and Family Welfare,Safdarjung Hospital and Vardhman Mahaveer Medical College New Delhi,637.02
2018-19,Women Specific 30%,Department of Health and Family Welfare,Dr. RML Hospital,310.86
2018-19,Women Specific 30%,Department of Health and Family Welfare,Dr. RML Hospital,34.34
2018-19,Women Specific 30%,Department of Health and Family Welfare,Contraception,97.12
2018-19,Women Specific 30%,Department of Health and Family Welfare,Health System Strengthening under NRHM,5697.66
2018-19,Women Specific 30%,Department of Health and Family Welfare,Ayushman Bharat - Pradhan Mantri Jan Arogya Yojana (PMJAY),0.0
2018-19,Women Specific 30%,Department of Health and Family Welfare,Department of Health and Family Welfare Total,23710.58
2018-19,Women Specific 100% ,Department of Health Research,Research Studies by ICMR,0.0
2018-19,Women Specific 30%,Department of Health Research,Research Studies by ICMR,0.0
2018-19,Women Specific 30%,Department of Health Research,Human Resource and Capacity Development,0.0
2018-19,Women Specific 30%,Department of Health Research,Department of Health Research Total,0.0
2018-19,Women Specific 100% ,Department of Higher Education,Prime Ministers Girls Hostel,20.0
2018-19,Women Specific 30%,Department of Higher Education,"University Grants Commission including Central Universities, Deemed Universities andAICTE",3768.13
2018-19,Women Specific 30%,Department of Higher Education,Indira Gandhi National Open University,26.27
2018-19,Women Specific 30%,Department of Higher Education,National Institutes of Technical Teachers Training and Research,40.16
2018-19,Women Specific 30%,Department of Higher Education,Scholarship for College and University Students,97.95
2018-19,Women Specific 30%,Department of Higher Education,Scholarship for College and University Students,36.17
2018-19,Women Specific 30%,Department of Higher Education,Support to Indian Institutes of Technology,1809.02
2018-19,Women Specific 30%,Department of Higher Education,Support to Indian Institutes of Management,122.65
2018-19,Women Specific 30%,Department of Higher Education,Support to Indian Institutes of Management,10.72
2018-19,Women Specific 30%,Department of Higher Education,National Institute of Industrial Engineering,76.16
2018-19,Women Specific 30%,Department of Higher Education,"Indian School of Mines, Dhanbad",1084.37
2018-19,Women Specific 30%,Department of Higher Education,Grants for promotion of Indian languages,124.22
2018-19,Women Specific 30%,Department of Higher Education,Grants for promotion of Indian languages,157.58
2018-19,Women Specific 30%,Department of Higher Education,Indian Institutes of Science Education and Research,198.47
2018-19,Women Specific 30%,Department of Higher Education,Interest Subsidy and Contribution to Guarantee Fund,503.92
2018-19,Women Specific 30%,Department of Higher Education,"Assistance to other Institutes including SLIET, NERIST, NIFFT Ranchi and CIT Kokrajhar",86.3
2018-19,Women Specific 30%,Department of Higher Education,Schools of Planning and Architecture,45.46
2018-19,Women Specific 30%,Department of Higher Education,Rashtriya Uchchatar Shiksha Abhiyan (RUSA),445.76
2018-19,Women Specific 30%,Department of Higher Education,e-Shodh Sindhu,63.86
2018-19,Women Specific 30%,Department of Higher Education,National Initiative for Excellence for Humanities and Social Sciences,57.26
2018-19,Women Specific 30%,Department of Higher Education,National Initiative for Excellence for Humanities and Social Sciences,70.23
2018-19,Women Specific 30%,Department of Higher Education,Setting up of new Indian Institutes of Management,39.2
2018-19,Women Specific 30%,Department of Higher Education,Setting up of new Indian Institutes of Management,5.02
2018-19,Women Specific 30%,Department of Higher Education,Department of Higher Education Total,8868.88
2018-19,Women Specific 100% ,Department of Rural Development,Rural Housing (Pradhan Mantri Awaas Yojana),19307.95
2018-19,Women Specific 100% ,Department of Rural Development,Indira Gandhi National Widow Pension Scheme,1733.65
2018-19,Women Specific 100% ,Department of Rural Development,Department of Rural Development Total,21041.6
2018-19,Women Specific 30%,Department of Rural Development,National Rural Livelihood Mission-Aajeevika,2891.74
2018-19,Women Specific 30%,Department of Rural Development,Mahatma Gandhi National Rural Employment Guarantee Scheme,20605.02
2018-19,Women Specific 30%,Department of Rural Development,Department of Rural Development Total,23496.76
2018-19,Women Specific 100% ,Department of School Education and Literacy,National Scheme for Incentive to Girl Child for Secondary Education,164.58
2018-19,Women Specific 30%,Department of School Education and Literacy,Rashtriya Madhyamik Shiksha Abhiyan,2854.3
2018-19,Women Specific 30%,Department of School Education and Literacy,Education Scheme for Madrassas and Minorities,5.48
2018-19,Women Specific 30%,Department of School Education and Literacy,Kendriya Vidyalaya Sangathan,1502.03
2018-19,Women Specific 30%,Department of School Education and Literacy,Navodaya Vidyalaya Samiti,963.9
2018-19,Women Specific 30%,Department of School Education and Literacy,Navodaya Vidyalaya Samiti,8816.67
2018-19,Women Specific 30%,Department of School Education and Literacy,Department of School Education and Literacy Total,14142.38
2018-19,Women Specific 100% ,Department of Science and Technology,DISHA Programme for women in science,74.94
2018-19,Women Specific 100% ,Department of Social Justice and Empowerment,DISHA Programme for women in science,23.11
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Girls Hostel for SCs,12.0
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Assistance to Voluntary Organisations for OBCs,10.82
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Post Matric Scholarship for OBCs,300.14
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Scheme for Educational and Economical Development of Denotified and Nomadic Tribes,2.7
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Scheme for Educational and Economical Development of Denotified and Nomadic Tribes,1780.0
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Post Matric Scholarship for SCs,4.46
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Pradhan Mantri Adarsh Gram Yojana,50.37
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,"Strengthening of Machinery for Enforcement of PCR Act, 1955 and PoA Act, 1989",121.72
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Pre Matric Scholarship for Children of Those Engaged in Unclean Occupations,0.94
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,State Scheduled Castes Development Corporations,6.0
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,State Scheduled Castes Development Corporations,41.22
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Special Central Assistance to SC Sub Component,270.0
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,National Safai Karamcharis Finance and Development Corporation,9.0
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,National Safai Karamcharis Finance and Development Corporation,72.0
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Self Employment Scheme for Liberation and Rehabilitation of Manual Scavengers,25.73
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Self Employment Scheme for Liberation and Rehabilitation of Manual Scavengers,1.79
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,National Overseas Scholarship for SCs,7.64
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Assistance to Voluntary Organisations for Providing Social Defence Services,0.9
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Assistance to Voluntary Organizations under Scheme of Integrated Programme for Older Persons,19.52
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Assistance to Voluntary Organizations under Scheme of Integrated Programme for Older Persons,0.15
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Integrated Programme for Rehabilitation of Beggars,30.0
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Pre Matric Scholarship for OBCs,36.55
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Pre Matric Scholarship for OBCs,10.82
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Pre Matric Scholarship for SCs and Others,34.7
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Pre Matric Scholarship for SCs,3.0
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Venture Capital Fund for SCs,8.21
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Post Matric Scholarship for EBCs,6.9
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Post Matric Scholarship for EBCs,3.0
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,National Overseas Scholarship for OBCs,9.0
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Boys and Girls Hostels for SCs,0.0
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,National Action Plan for Sr. Citizens,0.0
2018-19,Women Specific 30%,Department of Social Justice and Empowerment,Department of Social Justice and Empowerment Total,2879.28
2018-19,Women Specific 100% ,Ladakh,Women in Distress,0.0
2018-19,Women Specific 100% ,Ladakh,Assistance for Marriage,0.0
2018-19,Women Specific 100% ,Ladakh,Ladakh Total,0.0
2018-19,Women Specific 100% ,Lakshadweep,Scheme for child and women development,4.36
2018-19,Women Specific 30%,Lakshadweep,Welfare and pension scheme,3.84
2018-19,Women Specific 30%,Lakshadweep,Special nutrition programme,0.55
2018-19,Women Specific 30%,Lakshadweep,Lakshadweep Total,4.39
2018-19,Women Specific 100% ,Law and Justice,Fast Track Courts,0.0
2018-19,Women Specific 100% ,Ministry of AYUSH,"North Eastern Institute of Ayurveda and Homeopathy, Shillong",1.0
2018-19,Women Specific 100% ,Ministry of AYUSH,National Institute of Naturopathy,0.0
2018-19,Women Specific 100% ,Ministry of AYUSH,Central Council For Research in Siddha (CCRS),0.26
2018-19,Women Specific 100% ,Ministry of AYUSH,Central Council for Research in Ayurvedic Sciences (CCRAS),17.48
2018-19,Women Specific 100% ,Ministry of AYUSH,Central Council for Research in Unani Medicine,8.5
2018-19,Women Specific 100% ,Ministry of AYUSH,National Institute of Ayurveda,0.0
2018-19,Women Specific 100% ,Ministry of AYUSH,Ministry of AYUSH Total,27.24
2018-19,Women Specific 30%,Ministry of AYUSH,Central Council For Research in Siddha (CCRS),0.08
2018-19,Women Specific 30%,Ministry of AYUSH,Rashtriya Ayurveda Vidyapeeth (RAV),0.0
2018-19,Women Specific 30%,Ministry of AYUSH,Central Council for Research in Ayurvedic Sciences (CCRAS),21.22
2018-19,Women Specific 30%,Ministry of AYUSH,Central Council for Research in Homoeopathy (CCRH),3.28
2018-19,Women Specific 30%,Ministry of AYUSH,Central Council for Research in Unani Medicine,6.75
2018-19,Women Specific 30%,Ministry of AYUSH,National Institute of Ayurveda,0.0
2018-19,Women Specific 30%,Ministry of AYUSH,National Institute of Naturopathy,0.0
2018-19,Women Specific 30%,Ministry of AYUSH,Ministry of AYUSH Total,31.33
2018-19,Women Specific 30%,Ministry of Culture,Financial Assistance for Promotion of Art and Culture,15.32
2018-19,Women Specific 30%,Ministry of Culture,Fellowship Scheme,3.0
2018-19,Women Specific 30%,Ministry of Culture,Zonal Cultural Centres,11.55
2018-19,Women Specific 30%,Ministry of Culture,Zonal Cultural Centres,2.0
2018-19,Women Specific 30%,Ministry of Culture,Ministry of Culture Total,31.87
2018-19,Women Specific 100% ,Ministry of Development of North Eastern Region,Schemes of North Eastern Council,50.4
2018-19,Women Specific 100% ,Ministry of Development of North Eastern Region,North East Rural Livelihood Project (NERLP),57.6
2018-19,Women Specific 100% ,Ministry of Development of North Eastern Region,Ministry of Development of North Eastern Region Total,108.0
2018-19,Women Specific 30%,Ministry of Development of North Eastern Region,North East Rural Livelihood Project (NERLP),32.4
2018-19,Women Specific 30%,Ministry of Development of North Eastern Region,Schemes of North East Council,89.59
2018-19,Women Specific 30%,Ministry of Development of North Eastern Region,Ministry of Development of North Eastern Region Total,121.99
2018-19,Women Specific 30%,Ministry of Earth Sciences,"Oceans Services, Technology, Observations, Resources modelling and Science (O-STORMS)",64.56
2018-19,Women Specific 30%,Ministry of Earth Sciences,"Oceans Services, Technology, Observations, Resources modelling and Science (O-STORMS)",29.36
2018-19,Women Specific 30%,Ministry of Earth Sciences,"Research, Education and Training Outreach (REACHOUT)",25.64
2018-19,Women Specific 30%,Ministry of Earth Sciences,"Research, Education and Training Outreach (REACHOUT)",0.0
2018-19,Women Specific 30%,Ministry of Earth Sciences,Ministry of Earth Sciences Total,119.56
2018-19,Women Specific 30%,Ministry of Electronics and Information Technology,Digital India Programme,3.0
2018-19,Women Specific 100% ,Ministry of External Affairs,"Double storied Maternity Ward and a single storied Emergency Block for Sagarmatha zonal Hospital, Rajbiraj, Saptari",1.87
2018-19,Women Specific 100% ,Ministry of External Affairs,"Livelihood improvement, women empowerment and awareness program in Bhaktapur, Chitwan, Sarlahi and Mahottari Districs",0.2
2018-19,Women Specific 100% ,Ministry of External Affairs,"Girls Hostel Building and Compound Wall of Nepal APF School, Kirtipur, Kathmandu District.",3.06
2018-19,Women Specific 100% ,Ministry of External Affairs,"Chhahari Single Women Reintegration Centre, Kathmandu District",0.0
2018-19,Women Specific 100% ,Ministry of External Affairs,Women Empowerment Programme in Darchula District,0.01
2018-19,Women Specific 100% ,Ministry of External Affairs,Women Empowerment Programme in Darchula District,0.63
2018-19,Women Specific 100% ,Ministry of External Affairs,International Women Day celebration,0.91
2018-19,Women Specific 100% ,Ministry of External Affairs,"Furniture and equipments for the Maternity/Birthing Center at Tribhuvan University Teaching Hospital, Kathmandu",2.43
2018-19,Women Specific 100% ,Ministry of External Affairs,"Maternity Ward and an Emergency Block for Sagarmatha Zonal Hospital, Rajbiraj, Saptari",0.0
2018-19,Women Specific 100% ,Ministry of External Affairs,"Uterine Prolapsed cases in women in Nine Terai Districts by Healthy Nepal Community Based Hospital, Kathmandu",3.11
2018-19,Women Specific 100% ,Ministry of External Affairs,Establishment of five India Africa vocational Centres to train rural women as solar engineers,0.0
2018-19,Women Specific 100% ,Ministry of External Affairs,"Livelihood improvement, women empowerment and awareness program in Bhaktapur, Chitwan, Sarlahi and Mahottari Districs",0.0
2018-19,Women Specific 100% ,Ministry of External Affairs,"Grant in aid to CUNPK, New Delhi for organizing United Nations Female Military Officers Course (UNFMOC-15) in March, 2020",0.0
2018-19,Women Specific 100% ,Ministry of External Affairs,Special programme for women correspondents,0.0
2018-19,Women Specific 100% ,Ministry of External Affairs,Contribution to the Development of learning programme on conduct and discipline for the participants of the pipeline to peacekeeping command programme (PCP) learning,0.71
2018-19,Women Specific 100% ,Ministry of External Affairs,Financial contribution to project Reducing Adolescent Pregnancy (Cameroon) under India-UN Development Partnership fund Annual Contribution to the Commonwealth Window,0.0
2018-19,Women Specific 100% ,Ministry of External Affairs,Ministry of External Affairs Total,12.93
2018-19,Women Specific 30%,Ministry of External Affairs,"Construction of school building for Shree Latinath Higher Secondary School, Darchula",1.66
2018-19,Women Specific 30%,Ministry of External Affairs,"Construction of school building for Shree Latinath Higher Secondary School, Darchula",2.76
2018-19,Women Specific 30%,Ministry of External Affairs,"Construction of campus building for Marchawar Adarsha Multiple Campus, Majhagawa, Rupandehi District",2.47
2018-19,Women Specific 30%,Ministry of External Affairs,"Shree Bal Govinda Janata Higher Secondary School, Pipariya 7, Sarlahi",0.62
2018-19,Women Specific 30%,Ministry of External Affairs,Cost of translation of 25 classical and contemporary Books Chinese into Hindi,1.88
2018-19,Women Specific 30%,Ministry of External Affairs,"Construction of Science Block for Mahendra Morang Multiple Campus, Biratnagar, Morang District",2.77
2018-19,Women Specific 30%,Ministry of External Affairs,"Construction of school building for Shree Malikarjun Higher Secondary School, Dhap, Darchula District",1.85
2018-19,Women Specific 30%,Ministry of External Affairs,"Construction of school building for Baidyanath Devnarayan Public Higher Secondary School, Dhanusha District",2.77
2018-19,Women Specific 30%,Ministry of External Affairs,"Construction of school building for Baidyanath Devnarayan Public Higher Secondary School, Dhanusha District",0.0
2018-19,Women Specific 30%,Ministry of External Affairs,"Assistance for Upgradation of Infrastructure for Sidheshwor Education Public Campus, Remechhap District",0.0
2018-19,Women Specific 30%,Ministry of External Affairs,"Assistance for construction of School building for Shree Depak Secondary School, Tanahun District",1.66
2018-19,Women Specific 30%,Ministry of External Affairs,"Assistance for construction of School building for Shree Depak Secondary School, Tanahun District",3.05
2018-19,Women Specific 30%,Ministry of External Affairs,"Koteshwar Multiple Campus, Kathmandu",1.02
2018-19,Women Specific 30%,Ministry of External Affairs,"Shree Moti Mahila Sangh Primay School, Tinkar, Khalanga, Darchula District",2.71
2018-19,Women Specific 30%,Ministry of External Affairs,"Construction of College Building for Adarsha Multiple Campus, Gajuri, Dhading",2.57
2018-19,Women Specific 30%,Ministry of External Affairs,"Shree Shivbhari Secondary Secondary School, Sisawa-5, Shivbhari, Kapilvastu",2.06
2018-19,Women Specific 30%,Ministry of External Affairs,"Shree Shivbhari Secondary Secondary School, Sisawa-5, Shivbhari, Kapilvastu",2.7
2018-19,Women Specific 30%,Ministry of External Affairs,"Shree Saraswati Secondary School, Kailali",2.07
2018-19,Women Specific 30%,Ministry of External Affairs,"Shree Bagmati Primary/Secondary School, Phaparbari-2, Bageri",0.78
2018-19,Women Specific 30%,Ministry of External Affairs,Assistance for Construction of School Building and Hostel Building for Shree Jana Prakash Higher Secondary School,2.78
2018-19,Women Specific 30%,Ministry of External Affairs,"Shri Bhu Puu Sainik Community Academy, Bayerghari, Syangja District",2.62
2018-19,Women Specific 30%,Ministry of External Affairs,"Tribhuvan Adarsha Multiple Campus, Putalibazar-1, Syangja District",2.76
2018-19,Women Specific 30%,Ministry of External Affairs,"Tribhuvan Adarsha Multiple Campus, Putalibazar-1, Syangja District",2.58
2018-19,Women Specific 30%,Ministry of External Affairs,"Assistance for Construction of Shree Arba Bijaya Secondary School, Kaski",2.32
2018-19,Women Specific 30%,Ministry of External Affairs,"Gupteshwar Mahadev Multiple Campus, Pokhara, Kaski District",0.0
2018-19,Women Specific 30%,Ministry of External Affairs,"Gupteshwar Mahadev Multiple Campus, Pokhara, Kaski District",1.05
2018-19,Women Specific 30%,Ministry of External Affairs,"Construction of Shree Higher Secondary School, Pathara, Budhram in Rauthat District",2.73
2018-19,Women Specific 30%,Ministry of External Affairs,"Assistance for construction of Library building inside the permises of Shree Saraswati Madhyamik Vidhalaya, Simikot, in Humia District",1.34
2018-19,Women Specific 30%,Ministry of External Affairs,"Assistance for construction of Library building inside the permises of Shree Saraswati Madhyamik Vidhalaya, Simikot, in Humia District",1.89
2018-19,Women Specific 30%,Ministry of External Affairs,"Assistance for construction of Adarsha Multiple Campus, Dhading District",2.49
2018-19,Women Specific 30%,Ministry of External Affairs,GOI assistance to NNJS for eye care programmers in Nepal,0.0
2018-19,Women Specific 30%,Ministry of External Affairs,Ministry of External Affairs Total,57.96
2018-19,Women Specific 30%,Ministry of Housing and Urban Affairs,Pradhan Mantri Awas Yojana (Urban),0.0
2018-19,Women Specific 30%,Ministry of Housing and Urban Affairs,Deendayal Antodya Yojana - National Urban Livelihoods Mission (DAY-NULM),0.0
2018-19,Women Specific 30%,Ministry of Housing and Urban Affairs,Ministry of Housing and Urban Affairs Total,0.0
2018-19,Women Specific 30%,Ministry of Labour and Employment,National Child Labour Project including grants in aid to voluntary agencies and reimbursement of assistance to bonded labour,93.26
2018-19,Women Specific 100% ,"Ministry of Micro, Small and Medium Enterprises",Mahila Coir Yojna,1.82
2018-19,Women Specific 100% ,Ministry of Minority Affairs,Scheme for Leadership Development of Minority Women,13.83
2018-19,Women Specific 30%,Ministry of Minority Affairs,Pradhan Mantri Jan Vikas Karyakaram,0.0
2018-19,Women Specific 30%,Ministry of Minority Affairs,Scheme for Leadership Development of Minority Women,14.87
2018-19,Women Specific 30%,Ministry of Minority Affairs,Skill Development Initiatives,58.58
2018-19,Women Specific 30%,Ministry of Minority Affairs,Merit cum Means for professional and Technical Courses,87.06
2018-19,Women Specific 30%,Ministry of Minority Affairs,Pre Matric Schollarship for Minorities,392.06
2018-19,Women Specific 30%,Ministry of Minority Affairs,Pre Matric Schollarship for Minorities,118.3
2018-19,Women Specific 30%,Ministry of Minority Affairs,Post Matric Scholoarship for Minorities,32.62
2018-19,Women Specific 30%,Ministry of Minority Affairs,Maulana Azad National Fellowship for Minority students,385.35
2018-19,Women Specific 30%,Ministry of Minority Affairs,Multi-sectoral Development Programme,31.24
2018-19,Women Specific 30%,Ministry of Minority Affairs,Nai Manzil,10.42
2018-19,Women Specific 30%,Ministry of Minority Affairs,Interest Subsidy on Educational Loan for overseas studies,11.67
2018-19,Women Specific 30%,Ministry of Minority Affairs,Ministry of Minority Affairs Total,1142.17
2018-19,Women Specific 30%,Ministry of New and Renewable Energy,Biogas Programme,42.72
2018-19,Women Specific 100% ,Ministry of Petroleum and Natural Gas,LPG connection to Poor Households,0.0
2018-19,Women Specific 30%,Ministry of Petroleum and Natural Gas,Indian Institute of Petroleum Energy,0.0
2018-19,Women Specific 30%,Ministry of Petroleum and Natural Gas,"Establishment of Rajiv Gandhi Institute of Petroleum and Technology, Assam",0.0
2018-19,Women Specific 30%,Ministry of Petroleum and Natural Gas,"Establishment of Center of Excellence for Energy, Bangalore",0.0
2018-19,Women Specific 30%,Ministry of Petroleum and Natural Gas,Ministry of Petroleum and Natural Gas Total,0.0
2018-19,Women Specific 100% ,Ministry of Railways,Integrated Emergency Response Management System,0.0
2018-19,Women Specific 100% ,Ministry of Road Transport and Highways,Scheme for Safety of Women on Public Road Transport,33.64
2018-19,Women Specific 30%,Ministry of Road Transport and Highways,Scheme for Women on Public Road Transport,0.0
2018-19,Women Specific 100% ,Ministry of Skill Development and Entrepreneurship,National Skill Training Institution,0.0
2018-19,Women Specific 100% ,Ministry of Skill Development and Entrepreneurship,Jan Shikshan Sansthan,0.0
2018-19,Women Specific 100% ,Ministry of Skill Development and Entrepreneurship,Ministry of Skill Development and Entrepreneurship Total,0.0
2018-19,Women Specific 30%,Ministry of Skill Development and Entrepreneurship,National Apprenticeship Promotion Scheme,41.62
2018-19,Women Specific 100% ,Ministry of Textiles,Design and Technology Upgradation,0.0
